серийный номер;Год;название проекта;Наименование ПС;Принадлежность;Класс напряжения;Локация;тип ЭОБ;дата;серийный номер трансформатора, в который входит ЭОБ
025-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ТТЭО;16.01.2018;Т023-18
026-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;ТТЭО;23.03.2018;Т026-18
027-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;ТТЭО;23.03.2018;Т026-18
028-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;ТТЭО;23.03.2018;Т028-18
029-18;2018;DNVGL18;KEMA Laboratories;KEMA Laboratories;550;51.97907675767671, 5.871092113709996;ТТЭО;23.03.2018;
030-18;2018;Стример;;;;;ТТЭО;23.03.2018;Т030-18
031-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т031-18
032-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;110;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т031-18
033-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ДНЕЭ;04.04.2018;Т033-18
034-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ДНЕЭ;04.04.2018;Т033-18
035-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ДНЕЭ;04.04.2018;Т035-18
036-18;2018;Транснефть-2;ПС 110/6/6 кВ Десна;Транснефть;110;52.973775, 34.001997;ДНЕЭ;04.04.2018;Т035-18
037-18;2018;Транснефть доработка;ПС 110/6/6 кВ Десна;Транснефть;6;52.973775, 34.001997;ДНЕЭ;04.04.2018;Т037-18
038-18;2018;Транснефть-2;ПС 110/6 кВ Уват;Транснефть;6;59.131829, 69.016958;ДНЕЭ;04.04.2018;Т038-18
